所属区,初中学校代码,初中学校名称,招生高中名称,招生高中代码,分配名额数
静安区,62011,上海市回民中学,上海市回民中学,62011,21
静安区,62011,上海市回民中学,上海市第六十中学,63004,2
静安区,62011,上海市回民中学,上海市华东模范中学,64001,2
静安区,63001,上海市民立中学,上海市市西中学,62001,3
静安区,63001,上海市民立中学,上海市育才中学,62002,2
静安区,63001,上海市民立中学,上海市新中高级中学,62003,2
静安区,63001,上海市民立中学,上海市市北中学,62004,3
静安区,63001,上海市民立中学,上海市回民中学,62011,2
静安区,63001,上海市民立中学,上海市第六十中学,63004,2
静安区,63001,上海市民立中学,上海市华东模范中学,64001,2
静安区,63002,上海市第一中学,上海市市西中学,62001,3
静安区,63002,上海市第一中学,上海市育才中学,62002,3
静安区,63002,上海市第一中学,上海市新中高级中学,62003,3
静安区,63002,上海市第一中学,上海市市北中学,62004,4
静安区,63002,上海市第一中学,上海市回民中学,62011,2
静安区,63002,上海市第一中学,上海市第六十中学,63004,3
静安区,63002,上海市第一中学,上海市华东模范中学,64001,2
静安区,63002,上海市第一中学,复旦大学附属中学,102057,1
静安区,63008,上海市久隆模范中学,上海市市西中学,62001,4
静安区,63008,上海市久隆模范中学,上海市育才中学,62002,4
静安区,63008,上海市久隆模范中学,上海市新中高级中学,62003,4
静安区,63008,上海市久隆模范中学,上海市市北中学,62004,4
静安区,63008,上海市久隆模范中学,上海市回民中学,62011,3
静安区,63008,上海市久隆模范中学,上海市第六十中学,63004,3
静安区,63008,上海市久隆模范中学,上海市华东模范中学,64001,3
静安区,63077,上海市闸北第八中学,上海市市西中学,62001,4
静安区,63077,上海市闸北第八中学,上海市育才中学,62002,4
静安区,63077,上海市闸北第八中学,上海市新中高级中学,62003,4
静安区,63077,上海市闸北第八中学,上海市市北中学,62004,4
静安区,63077,上海市闸北第八中学,上海市回民中学,62011,3
静安区,63077,上海市闸北第八中学,上海市第六十中学,63004,3
静安区,63077,上海市闸北第八中学,上海市华东模范中学,64001,2
静安区,64001,上海市华东模范中学,上海市市西中学,62001,3
