区县,高中学校,录取分数线,是否完成,招生计划数,总分,语文,数学,英语
徐汇区,上海交通大学附属中学,756.5,否,50,413.5,144,126,145
徐汇区,复旦大学附属中学,760.5,否,50,422.5,146,129,144
徐汇区,上海市七宝中学,749.5,否,50,411.5,141,127,147
徐汇区,华东师范大学第二附属中学闵行紫竹分校,750,否,50,411,140,126,142
徐汇区,上海师范大学附属中学闵行分校,732,否,50,402,133,128,135
徐汇区,上海交通大学附属中学闵行分校,754.5,否,50,421.5,145,136,138
徐汇区,上海市闵行中学,703,否,50,388,127,122,120
徐汇区,上海大学附属中学,719.5,否,50,391.5,135,123,138
徐汇区,上海师范大学附属中学宝山分校,726,否,50,397,140,123,137
徐汇区,上海市吴淞中学,713,否,50,402.5,128,132,116
徐汇区,华东师范大学第二附属中学（宝山校区）,748,否,50,412,137,129,139
徐汇区,上海市嘉定区第一中学,729,否,50,395,125,125,139
徐汇区,上海交通大学附属中学嘉定分校,753,否,50,413,145,127,145
徐汇区,上海师范大学附属中学嘉定新城分校,710,否,50,383,117,125,134
徐汇区,上海中学东校,734,否,50,412,149,125,129
徐汇区,上海市建平中学,737.5,否,50,404.5,144,119,140
徐汇区,上海市进才中学,737.5,否,50,402.5,135,122,134
徐汇区,华东师范大学第二附属中学,756.5,否,50,417.5,145,130,145
徐汇区,上海南汇中学,693,否,50,386,132,115,128
徐汇区,上海市浦东复旦附中分校,743.5,否,50,414.5,144,128,134
徐汇区,上海师范大学附属中学,726.5,否,50,391.5,123,124,138
徐汇区,上海市洋泾中学,718.5,否,50,391.5,135,122,131
徐汇区,上海市高桥中学,714,否,50,390,126,126,130
徐汇区,上海市川沙中学,712,否,50,381,127,116,139
徐汇区,上海市金山中学,705.5,否,50,392.5,138,120,118
徐汇区,华东师范大学第三附属中学,698.5,否,50,371,130,111,132
徐汇区,上海市松江二中,738,否,50,402,145,120,143
徐汇区,华东师范大学第二附属中学松江分校,742.5,否,50,406.5,145,119,141
徐汇区,上海师范大学附属中学松江分校,705,否,50,392.5,130,119,129
徐汇区,上海市松江一中,717,否,50,392,134,116,134
徐汇区,上海外国语大学附属外国语学校松江云间中学,723,否,50,404,129,133,126
徐汇区,上海市青浦高级中学,719.5,否,50,384.5,126,122,143
徐汇区,复旦大学附属中学青浦分校,752,否,50,412,144,130,142
徐汇区,上海市朱家角中学,687.5,否,50,378,122,118,122
徐汇区,上海市奉贤中学,727,否,50,396,129,129,135
徐汇区,华东师范大学第二附属中学临港奉贤分校,727,否,50,399,130,126,135
徐汇区,上海市崇明中学,706.5,否,50,381.5,125,120,128
普陀区,上海市格致中学,738,否,50,403,138,120,142
普陀区,上海市大同中学,732.5,否,50,399.5,132,127,138
普陀区,上海市向明中学,728.5,否,50,400.5,124,129,133
普陀区,上海外国语大学附属大境中学,715.5,否,50,386.5,125,127,141
普陀区,上海市光明中学,706.5,否,50,395,122,126,116
普陀区,上海市敬业中学,711,否,50,389,128,121,132
普陀区,上海市第二中学,727,否,50,399,131,126,134.5
普陀区,上海市南洋模范中学,752.5,否,50,417,142,131,142
普陀区,上海市上海中学,765,否,50,425,136,143,144
普陀区,上海市位育中学,743,否,50,408,137,129,137
普陀区,复旦大学附属中学徐汇分校,755.5,否,50,418.5,138,133,140
普陀区,上海市南洋中学,707,否,50,387,124,126,125
普陀区,上海市第三女子中学,732,否,50,400,139,122,135
普陀区,上海市延安中学,743.5,否,50,411.5,133,130,139
普陀区,上海市复旦中学,721.5,否,50,393.5,124,131,133
普陀区,上海市市西中学,731,否,50,396.5,127,131,139
普陀区,上海市育才中学,720.5,否,50,391.5,119,135,134
普陀区,上海市新中高级中学,708.5,否,50,386.5,125,124,127
普陀区,上海市市北中学,726.5,否,50,393,130,125,139
普陀区,上海市回民中学,690.5,否,50,365,122,120,133
普陀区,上海市第六十中学,694,否,50,380,128,120,123
普陀区,上海市华东模范中学,690,否,50,384,124,126,115
普陀区,上海市晋元高级中学,735.5,否,50,404.5,136,130,133
普陀区,上海市曹杨第二中学,752,否,50,421,144,133,134
普陀区,上海市宜川中学,717.5,否,50,399.5,132,124,125
普陀区,华东师范大学第二附属中学（普陀校区）,760.5,否,50,425.5,145,133,140
普陀区,复旦大学附属复兴中学,733,否,50,399,145,117,141
普陀区,华东师范大学第一附属中学,731,否,50,405,133,128,132
普陀区,上海财经大学附属北郊高级中学,714,否,50,390,116,130,129
普陀区,上海市杨浦高级中学,726,否,50,399,130,127,131
普陀区,上海市控江中学,740.5,否,50,400.5,134,121,145
普陀区,上海交通大学附属中学,756.5,否,50,420.5,139,134,144
普陀区,复旦大学附属中学,762,否,50,425,146,131,139
普陀区,同济大学第一附属中学,722,否,50,401,130,128,128
普陀区,上海市七宝中学,748,否,50,415,141,127,137
普陀区,华东师范大学第二附属中学闵行紫竹分校,750,否,50,412,145,127,147
普陀区,上海师范大学附属中学闵行分校,720.5,否,50,402.5,133,128,121
普陀区,上海交通大学附属中学闵行分校,759,否,50,427,147,134,140
普陀区,上海市闵行中学,716,否,50,400.5,127,131,118
普陀区,上海市行知中学,721,否,50,394,126,125,135
普陀区,上海大学附属中学,714,否,50,399,137,124,125
普陀区,上海师范大学附属中学宝山分校,726,否,50,399,135,122,131
普陀区,上海市吴淞中学,718,否,50,405,143,121,118
普陀区,上海市嘉定区第一中学,728.5,否,50,398.5,139,126,135
普陀区,上海交通大学附属中学嘉定分校,753,否,50,418,138,134,142
普陀区,上海师范大学附属中学嘉定新城分校,715,否,50,391,127,125,130
普陀区,上海市建平中学,748,否,50,420,143,131,132
普陀区,上海市进才中学,739.5,否,50,399.5,131,129,140
普陀区,华东师范大学第二附属中学,756.5,否,50,422.5,148,132,137
普陀区,上海南汇中学,703,否,50,402,127,133,105
普陀区,上海市浦东复旦附中分校,729.5,否,50,403.5,132,127,130
普陀区,上海师范大学附属中学,726.5,否,50,398.5,135,122,132
普陀区,上海市洋泾中学,706,否,50,382.5,127,125,137
普陀区,上海市高桥中学,697,否,50,384,123,123,120
普陀区,上海市川沙中学,718.5,否,50,385.5,122,124,140
普陀区,上海市金山中学,722,否,50,387,133,114,141
普陀区,华东师范大学第三附属中学,683.5,否,50,374.5,120,123,116
普陀区,上海市松江二中,725,否,50,394,123,130,140
普陀区,上海市松江一中,702.5,否,50,384.5,121,127,122
普陀区,上海外国语大学附属外国语学校松江云间中学,729,否,50,400,127,127,132
普陀区,上海市青浦高级中学,692.5,否,50,378.5,131,116,116
普陀区,复旦大学附属中学青浦分校,748.5,否,50,414.5,139,128,138
普陀区,上海市朱家角中学,702,否,50,384,117,127,123
普陀区,上海市奉贤中学,737.5,否,50,401.5,141,124,141
普陀区,上海市崇明中学,705.5,否,50,400.5,140,119,114
杨浦区,上海市格致中学,743.5,否,50,412.5,142,130,133
杨浦区,上海市向明中学,696,否,50,384,134,111,126
杨浦区,上海外国语大学附属大境中学,722,否,50,399.5,128,128,131
杨浦区,上海市光明中学,710.5,否,50,379,128,119,138
杨浦区,上海市敬业中学,725,否,50,398,130,124,133
杨浦区,上海市第二中学,719,否,50,397.5,139,123,132
杨浦区,上海市南洋模范中学,740,否,50,402,138,125,141
杨浦区,上海市上海中学,753.5,否,50,419.5,142,133,139
杨浦区,上海市位育中学,735.5,否,50,405,136,127,137
杨浦区,复旦大学附属中学徐汇分校,755,否,50,414,146,127,143
杨浦区,上海市南洋中学,714,否,50,392,130,121,128
杨浦区,上海市第三女子中学,708.5,否,50,385.5,118,125,128
杨浦区,上海市延安中学,735,否,50,407,143,124,137
杨浦区,上海市复旦中学,704.5,否,50,383.5,131,126,132
杨浦区,上海市市西中学,731,否,50,402,126,133,135
杨浦区,上海市育才中学,705,否,50,382,120,120,123
杨浦区,上海市新中高级中学,704.5,否,50,379.5,127,117,134
杨浦区,上海市市北中学,722.5,否,50,398,125,132,132
杨浦区,上海市回民中学,677,否,50,374,118,122,115
杨浦区,上海市第六十中学,689,否,50,373,119,119,122
杨浦区,上海市晋元高级中学,722,否,50,397,122,131,131
杨浦区,上海市曹杨第二中学,748,否,50,413,145,131,139
杨浦区,上海市宜川中学,713.5,否,50,388.5,125,124,128
杨浦区,复旦大学附属复兴中学,742.5,否,50,405.5,134,129,141
杨浦区,华东师范大学第一附属中学,731.5,否,50,398.5,135,125,138
杨浦区,上海财经大学附属北郊高级中学,714,否,50,395,130,124,130
