序号,学校全称,招生代码,所属区,办别,学校类型,备注
110,上海市闵行第三中学,124006,闵行区,公办,市特色普通高中,
111,上海市莘庄中学,123002,闵行区,公办,区实验性示范性高中,
112,上海外国语大学闵行外国语中学,123003,闵行区,公办,区实验性示范性高中,
113,华东理工大学附属闵行科技高级中学,124005,闵行区,公办,区实验性示范性高中,
114,北京外国语大学附属上海闵行田园高级中学,124022,闵行区,公办,区实验性示范性高中,
115,上海市文来中学,124108,闵行区,民办,区实验性示范性高中,含国际课程班
116,华东师范大学附属闵行永德学校,125028,闵行区,公办,一般高中,
117,上海市第二体育运动学校(上海市体育中学),124010,闵行区,公办,一般高中,
118,上海市七宝中学附属鑫都实验中学,124011,闵行区,公办,一般高中,
119,上海市闵行中学东校,124012,闵行区,公办,一般高中,
120,上海市闵行区实验高级中学,124013,闵行区,公办,一般高中,
121,上海市七宝中学浦江分校,124015,闵行区,公办,一般高中,
122,上海中医药大学附属浦江高级中学,124019,闵行区,公办,一般高中,
123,上海市金汇高级中学,124020,闵行区,公办,一般高中,
124,上海市古美高级中学,124024,闵行区,公办,一般高中,
125,上海市民办文绮中学,124109,闵行区,民办,一般高中,
126,上海协和双语高级中学,124111,闵行区,民办,一般高中,国际课程班
127,上海市闵行区教育学院附属中学,124114,闵行区,公办,一般高中,
128,上海闵行区协和双语教科学校,124115,闵行区,民办,一般高中,
129,上海市民办燎原双语高级中学,124116,闵行区,民办,一般高中,
130,上海交通大学附属闵行实验学校,125008,闵行区,公办,一般高中,
131,上海星河湾双语学校,125113,闵行区,民办,一般高中,国际课程班
132,上海闵行区万科双语学校,125115,闵行区,民办,一般高中,
133,上海闵行区诺达双语学校,125117,闵行区,民办,一般高中,
134,上海闵行区民办德闳学校,125119,闵行区,民办,一般高中,
135,上海七宝德怀特高级中学,128100,闵行区,中外合作,一般高中,
136,上海市行知中学,132001,宝山区,公办,市实验性示范性高中,
137,上海大学附属中学,132002,宝山区,公办,市实验性示范性高中,
138,上海市吴淞中学,133001,宝山区,公办,市实验性示范性高中,
139,上海师范大学附属中学宝山分校,132003,宝山区,公办,享受市实验性示范性高中招生政策高中,
140,华东师范大学第二附属中学(宝山校区),133003,宝山区,公办,享受市实验性示范性高中招生政策高中,
141,上海师范大学附属宝山罗店中学,133002,宝山区,公办,区实验性示范性高中(市特色普通高中),
142,上海市宝山中学,134001,宝山区,公办,区实验性示范性高中,
143,上海市通河中学,134002,宝山区,公办,区实验性示范性高中,
144,上海市顾村中学,134004,宝山区,公办,区实验性示范性高中,
145,上海市行知实验中学,134005,宝山区,公办,区实验性示范性高中,
146,上海市淞浦中学,134003,宝山区,公办,一般高中,
147,上海市高境第一中学,134006,宝山区,公办,一般高中,
148,上海市宝山区海滨中学,134009,宝山区,公办,一般高中,
149,上海民办行中中学,134010,宝山区,民办,一般高中,
150,上海存志高级中学,134012,宝山区,民办,一般高中,
151,上海宝山区民办维尚高级中学,134013,宝山区,民办,一般高中,
152,上海创艺高级中学,134014,宝山区,民办,一般高中,
153,上海市宝山华曜高级中学,134015,宝山区,民办,一般高中,
154,上海市同洲模范学校,135001,宝山区,民办,一般高中,
155,上海金瑞学校,135003,宝山区,民办,一般高中,
156,上海宝山区世外学校,135034,宝山区,民办,一般高中,
157,上海市嘉定区第一中学,142001,嘉定区,公办,市实验性示范性高中,
158,上海交通大学附属中学嘉定分校,142002,嘉定区,公办,享受市实验性示范性高中招生政策高中,
159,上海师范大学附属中学嘉定新城分校,142004,嘉定区,公办,享受市实验性示范性高中招生政策高中,
160,上海市嘉定区第二中学,143001,嘉定区,公办,区实验性示范性高中(市特色普通高中),
161,上海市嘉定区嘉一实验高级中学,142003,嘉定区,公办,区实验性示范性高中,
162,上海师范大学附属嘉定高级中学,143002,嘉定区,公办,区实验性示范性高中,
163,上海市嘉定区安亭高级中学,143003,嘉定区,公办,区实验性示范性高中,
164,上海大学附属嘉定高级中学,144011,嘉定区,公办,区实验性示范性高中,
165,上海市嘉定区中光高级中学,144010,嘉定区,公办,一般高中,
166,上海市嘉定区封浜高级中学,144006,嘉定区,公办,一般高中,
167,上海市民办远东学校,145007,嘉定区,民办,一般高中,
168,上海华旭双语学校,145018,嘉定区,民办,一般高中,
169,上海嘉定区民办华盛怀少学校,145030,嘉定区,民办,一般高中,
170,上海市建平中学,152001,浦东新区,公办,市实验性示范性高中,含国际课程班
171,上海市进才中学,152002,浦东新区,公办,市实验性示范性高中,
172,上海南汇中学,152004,浦东新区,公办,市实验性示范性高中,
173,上海市洋泾中学,153001,浦东新区,公办,市实验性示范性高中,
174,上海市高桥中学,153004,浦东新区,公办,市实验性示范性高中,
175,上海市川沙中学,153005,浦东新区,公办,市实验性示范性高中,
176,上海中学东校,151078,浦东新区,公办,享受市实验性示范性高中招生政策高中,
177,上海市浦东复旦附中分校,152005,浦东新区,公办,享受市实验性示范性高中招生政策高中,
178,上海外国语大学附属浦东外国语学校,155004,浦东新区,公办,享受市实验性示范性高中招生政策高中,含国际课程班
179,华东师范大学附属东昌中学,153002,浦东新区,公办,区实验性示范性高中(市特色普通高中),
180,上海市香山中学,154009,浦东新区,公办,区实验性示范性高中(市特色普通高中),
181,上海海事大学附属北蔡高级中学,154013,浦东新区,公办,区实验性示范性高中(市特色普通高中),
182,上海市上南中学,153003,浦东新区,公办,区实验性示范性高中,
183,上海市三林中学,153006,浦东新区,公办,区实验性示范性高中,
184,上海市杨思高级中学,153007,浦东新区,公办,区实验性示范性高中,
185,上海市新川中学,153008,浦东新区,公办,区实验性示范性高中,
186,华东师范大学附属周浦中学,153009,浦东新区,公办,区实验性示范性高中,
187,上海海洋大学附属大团高级中学,153010,浦东新区,公办,区实验性示范性高中,
188,上海市新场中学,153011,浦东新区,公办,区实验性示范性高中,
189,华东理工大学附属浦东科技高级中学,153012,浦东新区,公办,区实验性示范性高中,
190,华东师范大学附属浦东临港高级中学,153013,浦东新区,公办,区实验性示范性高中,
191,上海市文建中学,154003,浦东新区,公办,区实验性示范性高中,
192,上海市陆行中学,154011,浦东新区,公办,区实验性示范性高中,
193,上海市浦东中学,154012,浦东新区,公办,区实验性示范性高中,
194,上海立信会计金融学院附属高行中学,154016,浦东新区,公办,区实验性示范性高中,
195,上海市建平世纪中学,154044,浦东新区,公办,区实验性示范性高中,
196,上海交通大学附属中学浦东实验高中,154046,浦东新区,公办,区实验性示范性高中,
197,上海市南汇第一中学,154050,浦东新区,公办,区实验性示范性高中,
198,上海市浦东外国语学校东校,151087,浦东新区,公办,一般高中,
199,上海民办光华中学,151082,浦东新区,民办,一般高中,
200,上海市建平中学筠溪分校,152007,浦东新区,公办,一般高中,
201,上海市进才中学根林分校,152008,浦东新区,公办,一般高中,
202,上海市川沙中学友仁分校,152009,浦东新区,公办,一般高中,
203,上海市泾南中学,154008,浦东新区,公办,一般高中,
204,上海市沪新中学,154010,浦东新区,公办,一般高中,
