district,high_school_code,seats,year,total_admission_score,chinese_admission_score,math_admission_score,english_admission_score,physics_admission_score,chemistry_admission_score,politics_admission_score,history_admission_score
奉贤区,172002,3,2025,732.0,134.0,126.0,135.0,,,,
奉贤区,174003,2,2025,721.5,123.0,128.0,132.0,,,,
奉贤区,182001,6,2025,698.0,111.0,127.0,131.0,,,,
奉贤区,183002,6,2025,672.5,117.0,122.0,131.0,,,,
奉贤区,202001,5,2025,757.0,148.0,125.0,142.0,,,,
奉贤区,202002,2,2025,737.5,143.0,127.0,132.0,,,,
奉贤区,512000,3,2025,697.5,124.0,124.0,121.0,,,,
虹口区,042032,7,2025,733.5,132.0,120.0,139.0,,,,
虹口区,102056,19,2025,755.5,144.0,136.0,141.0,,,,
虹口区,102057,13,2025,755.0,148.0,131.0,136.0,,,,
虹口区,152003,11,2025,746.0,143.0,131.0,136.0,,,,
虹口区,012001,9,2025,740.0,143.0,124.0,140.0,,,,
虹口区,012007,3,2025,683.5,110.0,124.0,129.0,,,,
虹口区,012008,3,2025,690.0,126.0,114.0,137.0,,,,
虹口区,012009,3,2025,718.5,131.0,134.0,120.0,,,,
虹口区,042001,4,2025,671.5,129.0,106.0,111.0,,,,
虹口区,042008,3,2025,741.0,132.0,131.0,138.0,,,,
虹口区,042035,2,2025,717.5,132.0,121.0,128.0,,,,
虹口区,043015,2,2025,700.0,127.0,122.0,129.0,,,,
虹口区,052001,3,2025,712.0,129.0,125.0,130.0,,,,
虹口区,052002,2,2025,727.0,133.0,123.0,136.0,,,,
虹口区,053004,3,2025,697.5,119.0,128.0,122.0,,,,
虹口区,062002,2,2025,716.0,135.0,121.0,124.0,,,,
虹口区,062003,6,2025,696.5,122.0,121.0,133.0,,,,
虹口区,062004,5,2025,723.0,139.0,126.0,130.0,,,,
虹口区,062011,2,2025,694.0,138.0,120.0,129.0,,,,
虹口区,063004,6,2025,688.5,127.0,117.0,135.0,,,,
虹口区,064001,2,2025,,,,,,,,
虹口区,072001,3,2025,715.5,146.0,125.0,127.0,,,,
虹口区,072002,2,2025,742.0,137.0,133.0,139.0,,,,
虹口区,073003,6,2025,685.5,120.0,118.0,123.0,,,,
虹口区,073082,5,2025,,,,,,,,
虹口区,092001,8,2025,743.0,138.0,131.0,132.0,,,,
虹口区,092002,7,2025,726.5,129.0,124.0,128.0,,,,
虹口区,093001,6,2025,710.5,130.0,128.0,123.0,,,,
虹口区,102004,10,2025,727.0,122.0,132.0,137.0,,,,
虹口区,102032,10,2025,741.5,138.0,130.0,141.0,,,,
虹口区,103002,2,2025,722.5,146.0,121.0,128.0,,,,
虹口区,122001,3,2025,746.5,136.0,128.0,142.0,,,,
虹口区,123001,3,2025,696.5,119.0,122.0,138.0,,,,
虹口区,122002,3,2025,747.5,144.0,130.0,136.0,,,,
虹口区,122003,3,2025,692.5,126.0,125.0,123.0,,,,
虹口区,132001,5,2025,716.5,129.0,123.0,131.0,,,,
虹口区,132002,4,2025,710.0,128.0,129.0,126.0,,,,
虹口区,133001,3,2025,720.0,131.0,126.0,132.0,,,,
虹口区,132003,2,2025,704.0,134.0,121.0,121.0,,,,
虹口区,133003,4,2025,,,,,,,,
虹口区,142001,2,2025,735.5,135.0,124.0,142.0,,,,
虹口区,142002,12,2025,745.5,145.0,129.0,134.0,,,,
