code,name,district,type,ownership_type,full_type,address,phone,email,features,faculty,note,created_at,updated_at
143001,上海市嘉定区第二中学,嘉定区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
142003,上海市嘉定区嘉一实验高级中学,嘉定区,区重点,公办,区实验性示范性高中,,,,,,,,
143002,上海师范大学附属嘉定高级中学,嘉定区,区重点,公办,区实验性示范性高中,,,,,,,,
143003,上海市嘉定区安亭高级中学,嘉定区,区重点,公办,区实验性示范性高中,,,,,,,,
144011,上海大学附属嘉定高级中学,嘉定区,区重点,公办,区实验性示范性高中,,,,,,,,
144010,上海市嘉定区中光高级中学,嘉定区,一般高中,公办,一般高中,,,,,,,,
144006,上海市嘉定区封浜高级中学,嘉定区,一般高中,公办,一般高中,,,,,,,,
145007,上海市民办远东学校,嘉定区,一般高中,民办,一般高中,,,,,,,,
145018,上海华旭双语学校,嘉定区,一般高中,民办,一般高中,,,,,,,,
145030,上海嘉定区民办华盛怀少学校,嘉定区,一般高中,民办,一般高中,,,,,,,,
152001,上海市建平中学,浦东新区,市重点,公办,市实验性示范性高中,,,,,,含国际课程班,,
152002,上海市进才中学,浦东新区,市重点,公办,市实验性示范性高中,,,,,,,,
152004,上海南汇中学,浦东新区,市重点,公办,市实验性示范性高中,,,,,,,,
153001,上海市洋泾中学,浦东新区,市重点,公办,市实验性示范性高中,,,,,,,,
153004,上海市高桥中学,浦东新区,市重点,公办,市实验性示范性高中,,,,,,,,
153005,上海市川沙中学,浦东新区,市重点,公办,市实验性示范性高中,,,,,,,,
151078,上海中学东校,浦东新区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
152005,上海市浦东复旦附中分校,浦东新区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
155004,上海外国语大学附属浦东外国语学校,浦东新区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,含国际课程班,,
153002,华东师范大学附属东昌中学,浦东新区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
154009,上海市香山中学,浦东新区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
154013,上海海事大学附属北蔡高级中学,浦东新区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
153003,上海市上南中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
153006,上海市三林中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
153007,上海市杨思高级中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
153008,上海市新川中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
153009,华东师范大学附属周浦中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
153010,上海海洋大学附属大团高级中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
153011,上海市新场中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
153012,华东理工大学附属浦东科技高级中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
153013,华东师范大学附属浦东临港高级中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
154003,上海市文建中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
154011,上海市陆行中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
154012,上海市浦东中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
154016,上海立信会计金融学院附属高行中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
154044,上海市建平世纪中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
154046,上海交通大学附属中学浦东实验高中,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
154050,上海市南汇第一中学,浦东新区,区重点,公办,区实验性示范性高中,,,,,,,,
