序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
116,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,宝山,3
117,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,宝山,4
118,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,宝山,5
119,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,宝山,7
120,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,宝山,3
121,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,宝山,2
122,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,宝山,1
123,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,宝山,8
124,512001,上海市实验学校东滩高级中学,崇明区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,宝山,3
125,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,崇明,2
126,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,崇明,2
127,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,崇明,2
128,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,崇明,1
129,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,崇明,1
130,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,崇明,1
131,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,崇明,3
132,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,崇明,1
133,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,崇明,2
134,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,崇明,2
135,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,崇明,2
136,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,崇明,16
137,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,崇明,4
138,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,崇明,4
139,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,崇明,3
140,133003,华东师范大学第二附属中学(宝山校区),宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,崇明,4
141,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,崇明,2
142,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,崇明,4
143,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,崇明,4
144,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,崇明,6
145,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,崇明,4
146,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,崇明,6
147,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,崇明,1
148,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,奉贤,4
149,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,奉贤,6
150,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,奉贤,4
151,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,奉贤,5
152,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,奉贤,3
153,012002,上海市格致中学(奉贤校区),黄浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,奉贤,20
154,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,奉贤,1
155,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,奉贤,1
156,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,奉贤,2
157,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,奉贤,1
158,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,奉贤,3
159,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,奉贤,1
160,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,奉贤,3
161,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,奉贤,1
162,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,奉贤,3
163,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,奉贤,3
