序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
569,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,普陀,2
570,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,普陀,3
571,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,普陀,5
572,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,普陀,5
573,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,普陀,6
574,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,普陀,3
575,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,普陀,2
576,042036,复旦大学附属中学徐汇分校,徐汇区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,普陀,4
577,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,普陀,5
578,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,普陀,9
579,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,普陀,6
580,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,普陀,12
581,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,普陀,5
582,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,普陀,5
583,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,普陀,7
584,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,普陀,7
585,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,普陀,6
586,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,普陀,4
587,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,普陀,8
588,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,普陀,8
589,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,普陀,9
590,073082,华东师范大学第二附属中学(普陀校区),普陀区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,普陀,3
591,092001,复旦大学附属复兴中学,虹口区,公办,市实验性示范性高中,部分寄宿,普陀,6
592,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,普陀,4
593,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,普陀,2
594,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,普陀,4
595,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,普陀,7
596,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,普陀,1
597,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,普陀,6
598,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,普陀,5
599,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,普陀,4
600,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,普陀,2
601,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,普陀,3
602,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,普陀,7
603,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,普陀,9
604,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,普陀,6
605,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,普陀,4
606,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,普陀,6
607,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,普陀,12
608,142004,上海师范大学附属中学嘉定新城分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,普陀,3
609,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,普陀,5
610,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,普陀,5
611,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,普陀,8
612,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,普陀,9
613,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,普陀,4
614,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,普陀,8
615,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,普陀,5
616,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,普陀,4
617,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,普陀,3
618,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,普陀,3
619,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,普陀,5
620,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,普陀,1
621,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,普陀,3
622,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,普陀,4
623,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,普陀,3
624,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,普陀,2
625,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,普陀,2
626,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,青浦,4
627,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,青浦,7
628,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,青浦,4
629,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,青浦,5
630,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,青浦,2
631,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,青浦,2
632,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,青浦,2
633,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,青浦,4
634,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,青浦,2
635,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,青浦,2
636,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,青浦,2
637,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,青浦,3
638,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,青浦,2
639,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,青浦,3
640,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,青浦,2
641,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,青浦,1
642,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,青浦,1
643,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,青浦,3
644,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,青浦,3
645,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,青浦,3
646,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,青浦,2
647,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,青浦,1
648,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,青浦,8
649,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,青浦,6
650,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,青浦,4
651,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,青浦,3
652,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,青浦,5
653,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,青浦,2
654,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,青浦,3
655,133003,华东师范大学第二附属中学(宝山校区),宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,青浦,2
656,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,青浦,5
657,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,青浦,2
658,142004,上海师范大学附属中学嘉定新城分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,青浦,4
659,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,青浦,2
660,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,青浦,5
661,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,青浦,5
662,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,青浦,5
663,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,青浦,6
664,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,青浦,3
665,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,青浦,5
666,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,青浦,3
667,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,青浦,11
668,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,青浦,8
669,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,青浦,10
670,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,青浦,12
671,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,青浦,13
672,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,青浦,2
673,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,青浦,3
674,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,青浦,2
675,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,松江,10
676,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,松江,15
677,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,松江,10
678,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,松江,8
679,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,松江,9
680,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,松江,9
681,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,松江,8
682,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,松江,5
683,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,松江,3
684,012010,上海市卢湾高级中学,黄浦区,公办,市实验性示范性高中,部分寄宿,松江,15
685,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,松江,3
686,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,松江,5
687,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,松江,4
688,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,松江,6
689,042036,复旦大学附属中学徐汇分校,徐汇区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,松江,2
690,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,松江,3
691,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,松江,3
692,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,松江,2
693,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,松江,3
694,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,松江,1
695,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,松江,1
696,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,松江,10
697,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,松江,2
698,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,松江,4
699,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,松江,6
700,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,松江,2
701,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,松江,6
702,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,松江,1
703,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,松江,16
704,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,松江,11
705,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,松江,11
706,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,松江,4
707,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,松江,1
708,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,松江,2
709,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,松江,7
710,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,松江,3
711,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,松江,2
712,142004,上海师范大学附属中学嘉定新城分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,松江,3
713,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,松江,5
714,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,松江,10
715,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,松江,7
716,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,松江,8
717,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,松江,10
718,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,松江,3
719,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,松江,7
720,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,松江,12
721,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,松江,7
722,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,松江,8
723,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,松江,8
724,172002,华东师范大学第二附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,松江,3
725,172004,上海师范大学附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,松江,1
726,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,松江,8
727,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,松江,16
728,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,松江,13
729,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,松江,6
730,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,松江,8
731,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,松江,6
732,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,徐汇,92
733,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,徐汇,21
734,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,徐汇,17
735,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,徐汇,17
736,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,徐汇,20
737,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,徐汇,4
738,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,徐汇,15
739,012005,上海市向明中学,黄浦区,公办,市实验性示范性高中,无寄宿,徐汇,8
740,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,徐汇,8
741,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,徐汇,3
742,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,徐汇,3
743,012010,上海市卢湾高级中学,黄浦区,公办,市实验性示范性高中,部分寄宿,徐汇,13
744,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,徐汇,7
745,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,徐汇,9
746,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,徐汇,9
747,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,徐汇,8
748,042002,上海市第二中学(梅陇校区),徐汇区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,40
749,042036,复旦大学附属中学徐汇分校,徐汇区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,3
750,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,徐汇,2
751,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,徐汇,7
752,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,徐汇,3
753,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,徐汇,8
754,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,徐汇,4
755,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,徐汇,2
756,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,徐汇,2
757,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,徐汇,3
758,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,徐汇,2
759,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,徐汇,5
760,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,徐汇,3
761,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,徐汇,6
762,073082,华东师范大学第二附属中学(普陀校区),普陀区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,4
763,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,徐汇,2
764,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,徐汇,3
765,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,徐汇,8
766,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,徐汇,16
767,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,徐汇,8
768,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,15
769,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,9
770,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,14
771,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,徐汇,2
772,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,徐汇,1
773,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,2
774,133003,华东师范大学第二附属中学(宝山校区),宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,3
775,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,徐汇,4
776,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,8
777,142004,上海师范大学附属中学嘉定新城分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,2
778,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,徐汇,7
779,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,徐汇,7
780,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,徐汇,7
781,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,徐汇,6
782,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,徐汇,4
783,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,徐汇,6
784,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,12
785,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,4
786,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,徐汇,8
787,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,徐汇,5
788,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,徐汇,7
789,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,徐汇,5
790,172002,华东师范大学第二附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,3
791,172004,上海师范大学附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,5
792,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,5
793,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,徐汇,4
794,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,徐汇,4
795,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,3
796,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,徐汇,2
797,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,7
798,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,徐汇,2
799,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,杨浦,8
800,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,杨浦,45
801,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,杨浦,45
802,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,杨浦,9
803,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,杨浦,9
804,012005,上海市向明中学,黄浦区,公办,市实验性示范性高中,无寄宿,杨浦,6
805,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,杨浦,2
806,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,杨浦,3
807,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,杨浦,2
808,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,杨浦,3
809,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,杨浦,2
810,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,杨浦,2
811,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,杨浦,2
812,042036,复旦大学附属中学徐汇分校,徐汇区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,2
813,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,杨浦,3
814,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,杨浦,4
815,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,杨浦,3
816,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,杨浦,5
817,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,杨浦,2
818,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,杨浦,4
819,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,杨浦,6
820,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,杨浦,6
821,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,杨浦,2
822,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,杨浦,3
823,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,杨浦,2
824,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,杨浦,4
825,092001,复旦大学附属复兴中学,虹口区,公办,市实验性示范性高中,部分寄宿,杨浦,16
826,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,杨浦,14
827,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,杨浦,11
828,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,杨浦,10
829,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,杨浦,10
830,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,杨浦,8
831,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,杨浦,3
832,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,杨浦,3
833,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,5
834,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,4
835,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,3
836,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,杨浦,8
837,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,杨浦,10
838,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,杨浦,10
839,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,杨浦,5
840,133003,华东师范大学第二附属中学(宝山校区),宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,杨浦,4
841,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,杨浦,7
842,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,10
843,142004,上海师范大学附属中学嘉定新城分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,1
844,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,杨浦,12
845,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,杨浦,7
846,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,杨浦,4
847,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,杨浦,10
848,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,杨浦,6
849,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,杨浦,8
850,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,杨浦,12
851,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,11
852,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,杨浦,1
853,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,杨浦,4
